roll,yaw,pitch,top,left,width,height,look_result,pitch_result,position
0.4,-0.3,-5.9,325,450,104,104,0,-1,-1
-0.2,-3.1,-7.4,290,420,77,77,0,-1,-1
1.9,1.7,3.5,249,379,58,58,0,-1,-1
0,0.3,-1.5,235,354,49,49,0,-1,-1
4,-1.3,-2.9,215,344,40,40,0,-1,-1
-0.8,0.9,0.6,218,260,39,39,0,-1,-1
-2.5,-0.4,-1.8,232,263,47,47,0,-1,-1
0.6,4.4,-5.4,249,259,57,57,0,-1,-1
-0.8,-1,-7,278,243,76,76,0,-1,-1
-1.1,-0.9,-4.9,319,247,101,101,0,-1,-1
-5.7,3.3,-9.9,311,71,95,95,0,-1,-1
-2.5,1.9,-6.1,277,71,80,80,0,-1,-1
-2.2,2.7,2.9,242,140,56,56,0,-1,-1
-2.3,0.6,6.1,223,164,46,46,0,-1,-1
-0.6,-4.2,5.1,210,177,39,39,0,-1,-1
2.1,-2.8,-2.3,323,473,105,105,0,-1,-1
0.9,-2,1.7,279,414,75,75,0,-1,-1
2.9,2.3,6.2,246,375,59,59,0,-1,-1
2,0,1.6,234,361,47,47,0,-1,-1
0.5,-2,-2.4,216,338,40,40,0,-1,-1
-0.4,-2.1,4,211,263,39,39,0,-1,-1
-2.2,-0.5,0.1,231,264,45,45,0,-1,-1
-2.3,1.5,-5.9,248,260,56,56,0,-1,-1
-1.8,-0.5,-6.8,271,246,73,73,0,-1,-1
-1.1,-0.3,-6.8,319,241,99,99,0,-1,-1
-4.4,4.4,-8.2,313,27,102,102,0,-1,-1
-2.2,0,-4.2,279,70,82,82,0,-1,-1
-0.4,1.9,-6.9,246,131,58,58,0,-1,-1
-0.7,0.6,0,226,142,45,45,0,-1,-1
-1.2,-0.2,-6.3,216,176,39,39,0,0,3
1.1,-0.6,-8.2,334,449,102,102,0,-1,-1
1.5,-2.2,-2.1,292,421,78,78,0,-1,-1
0.9,1.1,0.5,252,379,59,59,0,-1,-1
1.6,-0.1,-2.6,236,367,48,48,0,-1,-1
3.3,0.4,-3.2,217,332,40,40,0,-1,-1
1.5,-1.9,1.1,216,262,40,40,0,-1,-1
0.4,-0.3,0.6,230,267,46,46,0,-1,-1
-1.1,2,-0.3,246,252,57,57,0,-1,-1
-2.9,1.3,-7.3,273,241,79,79,0,-1,-1
-2.7,4.1,-14.2,332,245,108,108,0,-1,-1
-1.5,3.3,-22.3,333,243,111,111,0,0,11
-6.6,2.1,-12.1,325,47,112,112,0,-1,-1
-3.1,-0.7,-6,281,80,80,80,0,-1,-1
-2.4,-0.7,-5.4,251,127,59,59,0,-1,-1
-1.2,0.1,-2,226,151,46,46,0,-1,-1
-2.7,0,1.6,212,170,40,40,0,-1,-1
2,-2.1,-12.8,340,461,105,105,0,-1,-1
-0.1,-0.9,-5.4,285,420,80,80,0,-1,-1
-0.1,-1,-0.6,253,382,59,59,0,-1,-1
0.9,-3.5,-4.1,232,360,48,48,0,-1,-1
0.5,-1.5,0.3,214,334,42,42,0,-1,-1
2.1,0.9,-2.5,215,262,39,39,0,-1,-1
0.2,-0.3,-3.5,228,263,47,47,0,-1,-1
-2.1,0.1,-6.9,248,246,58,58,0,-1,-1
-1.4,-1.5,-5.7,276,251,75,75,0,-1,-1
-2.1,-0.2,-23.3,333,250,113,113,0,0,12
-3.5,5.7,-7.5,310,0,104,104,0,-1,-1
-3.1,2.8,-10,281,75,83,83,0,-1,-1
-1.9,2.6,-3.9,250,124,59,59,0,-1,-1
-0.6,-0.5,-3.2,228,148,49,49,0,-1,-1
-2.7,-1.4,0,213,165,41,41,0,-1,-1
1.1,-0.6,-8.2,334,449,102,102,0,-1,-1
1.5,-2.2,-2.1,292,421,78,78,0,-1,-1
0.9,1.1,0.5,252,379,59,59,0,-1,-1
1.6,-0.1,-2.6,236,367,48,48,0,-1,-1
3.3,0.4,-3.2,217,332,40,40,0,-1,-1
1.5,-1.9,1.1,216,262,40,40,0,-1,-1
0.4,-0.3,0.6,230,267,46,46,0,-1,-1
-1.1,2,-0.3,246,252,57,57,0,-1,-1
-2.9,1.3,-7.3,273,241,79,79,0,-1,-1
-2.7,4.1,-14.2,332,245,108,108,0,-1,-1
-1.5,3.3,-22.3,333,243,111,111,0,0,11
-6.6,2.1,-12.1,325,47,112,112,0,-1,-1
-3.1,-0.7,-6,281,80,80,80,0,-1,-1
-2.4,-0.7,-5.4,251,127,59,59,0,-1,-1
-1.2,0.1,-2,226,151,46,46,0,-1,-1
-2.7,0,1.6,212,170,40,40,0,-1,-1
2,-2.1,-12.8,340,461,105,105,0,-1,-1
-0.1,-0.9,-5.4,285,420,80,80,0,-1,-1
-0.1,-1,-0.6,253,382,59,59,0,-1,-1
0.9,-3.5,-4.1,232,360,48,48,0,-1,-1
0.5,-1.5,0.3,214,334,42,42,0,-1,-1
2.1,0.9,-2.5,215,262,39,39,0,-1,-1
0.2,-0.3,-3.5,228,263,47,47,0,-1,-1
-2.1,0.1,-6.9,248,246,58,58,0,-1,-1
-1.4,-1.5,-5.7,276,251,75,75,0,-1,-1
-2.1,-0.2,-23.3,333,250,113,113,0,0,12
-3.5,5.7,-7.5,310,0,104,104,0,-1,-1
-3.1,2.8,-10,281,75,83,83,0,-1,-1
-1.9,2.6,-3.9,250,124,59,59,0,-1,-1
-0.6,-0.5,-3.2,228,148,49,49,0,-1,-1
-2.7,-1.4,0,213,165,41,41,0,-1,-1
